Turbidity;B01;B02;B03;B04;B05;B06;B07;B08;B8A;B09;B10;B11;B12;Cloud
3.5;1304;1059;754;363;301;262;250;206;198;66;7;80;56;0.0035
1.2;1262;926;569;304;261;250;249;185;191;69;6;83;59;0.0015
0.9;1231;895;530;268;218;203;190;143;144;56;6;36;25;0.0003
0.6;1234;863;498;256;210;193;178;139;132;58;6;37;18;0.0002
1.8;1271;999;761;380;329;314;320;282;277;81;7;142;110;0.0025
1.8;1271;998;679;345;296;283;280;226;228;70;6;117;82;0.0021
1.8;1244;956;621;308;257;238;232;177;185;64;5;65;62;0.0013
2.5;1322;1044;780;363;302;268;270;218;212;64;8;102;71;0.0029
1.4;1281;1032;724;306;246;225;214;168;157;56;9;45;32;0.0008
1.9;1260;961;633;281;243;217;199;159;150;54;8;42;31;0.0005
0.5;1419;1076;728;430;367;369;381;309;318;76;5;111;62;0.004
0.5;1410;1061;671;394;345;319;313;256;259;71;5;75;39;0.0021
0.3;1436;1076;662;377;321;296;284;225;229;65;5;62;39;0.0026
0.4;1427;1111;816;476;401;421;430;372;371;82;4;150;92;0.0063
0.5;1452;1144;755;420;361;360;369;296;303;72;5;99;64;0.0042
1;1452;1126;728;413;342;335;332;275;287;70;6;96;66;0.0052
0.8;1489;1194;888;468;405;421;441;349;366;74;6;130;72;0.0081
0.6;1475;1150;813;455;391;396;400;332;332;71;5;128;65;0.0044
0.5;1460;1097;725;413;353;341;340;266;268;69;9;87;44;0.0051
1;1154;823;561;290;272;250;240;174;211;61;3;69;50;0.0007
2.4;1236;947;656;329;290;270;260;200;224;66;5;95;78;0.0016
2.7;1182;879;658;362;331;314;312;266;264;71;6;149;103;0.0028
3.45;1183;904;700;364;295;248;238;196;195;63;3;62;50;0.0021
3.45;1177;897;656;351;291;254;260;214;218;64;5;90;68;0.003
2.1;1344;1049;631;289;233;213;200;153;151;49;5;44;27;0.0003
1.8;1322;1022;613;267;211;181;172;133;121;48;3;21;18;0
1.9;1313;1002;590;270;215;194;176;143;124;48;5;24;16;0.0001
1.8;1480;1164;815;444;378;347;325;290;269;84;6;100;65;0.0173
0.1;1523;1102;686;372;309;287;265;215;191;72;5;37;27;0.0044
1.4;6578;6317;5647;6014;5980;6080;6372;5913;6516;2101;192;3750;2505;0.9983
